city_nm,0,city_coordinates
Волгоград,0.2739183954054501,"48.707070, 44.516952"
Воронеж,0.3941927342008557,"51.660782, 39.200286"
Екатеринбург,0.624674309373954,"56.838011, 60.597474"
Казань,0.3632577715303158,"55.796125, 49.106400"
Краснодар,1.1489492964592172,"45.035470, 38.975313"
Красноярск,0.3766124274963144,"56.010552, 92.852531"
Москва,1.0288225340344523,"55.755829, 37.617627"
Нижний Новгород,0.4409193050722999,"56.326793, 44.006437"
Новосибирск,0.875021680112058,"55.030280, 82.920383"
Омск,0.4513783897379912,"54.989362, 73.368037"
Пермь,0.3992855109649682,"58.010400, 56.229486"
Ростов-на-Дону,0.3071795921806539,"47.222104,  39.720179"
Самара,0.4995097532904209,"53.195878, 50.100202"
Санкт-Петербург,1.946624664020497,"59.938670, 30.314350"
Уфа,0.2229747155189327,"54.735148, 55.958596"
Челябинск,0.3129260128347927,"55.159902, 61.402554"
