vertex,target
0,14.376539872870179
1,14.085369790259096
2,10.277789882579388
3,7.860847798285854
4,10.853886591469877
5,7.102987424376392
6,9.329699938054974
7,7.126260561106717
8,14.260328307936733
9,8.645266011206733
10,9.473234901591642
11,20.865635488995096
12,13.919919716882754
13,8.609214180559276
14,9.04258026110307
15,31.25768300286047
16,13.50533956427719
17,9.025842417669473
18,10.982138460898327
19,7.935187268546171
20,8.936740932258095
21,4.850693880007312
22,7.855024651808481
23,11.027486984556802
24,8.97269969682086
25,10.071898575876805
26,11.146170406917227
27,6.525986184300484
28,5.163651834425463
29,9.884330020670028
30,13.473923313730664
31,20.207213667609146
32,20.184197818909073
33,3.188837495999291
34,4.127752328280662
35,10.590562435596661
36,35.076012293496376
37,15.15325102690675
38,13.803932712514925
39,8.869520600574909
40,2.9335016718008076
41,13.855072054619145
42,8.901961540141489
43,7.458316728083286
44,11.740888232356907
45,16.134180666382566
46,10.167384084318634
47,14.290154675839005
48,17.501579965487917
49,11.576165130194836
50,8.962808055266219
51,16.583628435198147
52,6.123693357810975
53,12.52370848433474
54,18.273331998309732
55,9.53423785769963
56,4.490446068718205
57,13.828554733378663
58,10.035397529393796
59,6.58737537578021
60,14.0567118240146
61,9.834098161010722
62,11.876864858485172
63,6.025242240916796
64,10.180716338768994
65,13.158851679467237
66,5.83994979671765
67,9.158923354784614
68,11.874761967855706
69,18.373092935225962
70,6.868355998797933
71,19.251197310353866
72,4.164410877839512
73,7.2134508169404095
74,13.69434527528937
75,8.707908272362543
76,19.966592776484088
77,11.922623936541621
78,13.978576956447096
79,9.126839140186306
80,7.597919463511663
81,16.3359861241057
82,8.00981601946021
83,10.691034150617936
84,15.491737981690967
85,7.921344751648086
86,4.670736620308483
87,9.926003258625045
88,8.48975503215441
89,10.657268540073638
90,37.86396540390579
91,5.27371635323936
92,13.352565666429857
93,9.551900021771072
94,7.613249193750354
95,10.586333434877785
96,8.639830722908952
97,9.104198193515838
98,10.42865180212008
99,14.921808958596312
100,7.626304800112979
101,5.354672135006238
102,15.487228601031603
103,28.928201381633897
104,9.618193664200822
105,5.671775109870537
106,9.610255046518859
107,5.462408020566273
108,10.321878434555035
109,19.800681060901884
110,4.2359698225510565
111,4.019178649658477
112,27.669228234234513
113,8.259117521502723
114,10.093510740382595
115,11.399861228842102
116,7.946354950860345
117,3.4690307420540343
118,12.715690789998622
119,11.07367744346406
120,4.043472752036922
121,5.717366326106459
122,16.76478193235728
123,9.56831419577662
124,14.873975356364815
125,12.338974768440472
126,14.214310972367896
127,8.336553038030909
128,17.12971839165487
129,7.092384014318453
130,10.42542128583066
131,16.425551346733748
132,5.695978286015729
133,16.134416599392782
134,12.60962011033132
135,8.8720748572418
136,10.42888760218141
137,13.534008444616834
138,2.9698239225752947
139,10.829042428090146
140,8.88707270610654
141,17.70966481349689
142,9.81154507054988
143,15.353563736100154
144,3.1049890331577648
145,14.821445587561282
146,11.473413694398936
147,10.496548482815959
148,28.49223262449589
149,13.20521327856216
150,14.391216357982449
151,10.06654231333925
152,7.19540417047697
153,14.18016794984871
154,5.321395625830394
155,8.709712071263501
156,1.681801520199338
157,12.096920901244236
158,9.803630239788014
159,22.97605274451216
160,10.721081618659973
161,12.329492954377798
162,11.11360148344571
163,8.747434093668728
164,4.547802768128316
165,9.205726903477677
166,11.90441200864636
167,17.861638080313988
168,14.14235160808124
169,8.11781134032724
170,10.928788814974741
171,5.104102022380424
172,13.521150407204832
173,13.569009498629224
174,18.945266329413606
175,8.779011782595711
176,13.444714505248347
177,6.964713820718599
178,16.20853357785671
179,11.014677961772298
180,5.681807957382333
181,10.341192721506776
182,31.326380701495538
183,5.992196626678994
184,6.76232099141204
185,8.151111972248541
186,8.229977474977701
187,15.397413220038397
188,7.613077947281471
189,23.10977402671857
190,10.30524609627311
191,3.671515872834463
192,6.21102235106796
193,15.03016457866402
194,0.0712836056192776
195,17.657193419303713
196,18.80728790013193
197,10.5758946068463
198,4.694036343900589
199,13.722001272378234
200,19.30029497544622
201,8.86676533968317
202,17.91591900386829
203,24.323522411529943
204,5.119987311798107
205,6.700371852393854
206,14.197212214370914
207,15.26998417520121
208,8.561528295557688
209,11.078521795240581
210,11.165235458936564
211,16.074194525385604
212,8.03364838529994
213,5.921363298329042
214,13.789489434011285
215,2.6886142047500603
216,9.172152693781744
217,13.375527462352327
218,6.044366278627678
219,4.231775704661268
220,7.068115083712962
221,9.773045084638467
222,15.220353358518278
